Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10uF/50V","C_1206_3216Metric",159.700000,-86.000000,0.000000,top
"C102","10uF/50V","C_1206_3216Metric",163.300000,-84.810000,270.000000,top
"C103","33pF","C_0402_1005Metric",155.600000,-80.100000,270.000000,top
"C104","33pF/50V","C_0603_1608Metric",154.200000,-80.650000,270.000000,top
"D101","KDZ3.3V-RTK/P","D_SOD-323",157.150000,-80.800000,270.000000,top
"FB101","GZ2012D101TF","L_0805_2012Metric",155.800000,-78.100000,0.000000,top
"R101","2K","R_0603_1608Metric",159.700000,-83.660000,180.000000,top
"R102","470","R_0603_1608Metric",159.000000,-80.700000,90.000000,top
"U101","H7550-H#","SOT-23",155.600000,-85.450000,270.000000,top
