Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","4.7uF","C_0603_1608Metric",135.075000,-94.825000,0.000000,top
"C102","33pF/50V","C_0603_1608Metric",134.740000,-98.040000,90.000000,top
"C103","33pF/50V","C_0603_1608Metric",129.710000,-98.030000,90.000000,top
"C104","33pF","C_0402_1005Metric",134.920000,-96.040000,0.000000,top
"C105","33pF","C_0402_1005Metric",129.550000,-96.050000,180.000000,top
"C305","100nF","C_0402_1005Metric",136.000000,-97.475000,90.000000,top
"FB101","GZ2012D101TF","L_0805_2012Metric",133.110000,-97.770000,90.000000,top
"FB102","GZ2012D101TF","L_0805_2012Metric",131.340000,-97.790000,90.000000,top
"U101","LIS2DH12TR","LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y",132.050000,-94.425000,90.000000,top
